dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TF101169,ESM2_3B,94,100,0.94,55.981515884399414,55.98700833320618
TF101170,ESM2_3B,84,92,0.9130434782608695,13.201894760131836,13.21023154258728
TF101171,ESM2_3B,32,40,0.8,3.331176280975342,3.337163209915161
TF101172,ESM2_3B,86,100,0.86,19.49051308631897,19.49658465385437
TF101176,ESM2_3B,110,138,0.7971014492753623,82.07483100891113,82.0834276676178
TF101177,ESM2_3B,0,2,0.0,1.9911925792694092,1.9944820404052734
TF101179,ESM2_3B,88,130,0.676923076923077,19.20643138885498,19.219895839691162
TF101180,ESM2_3B,90,116,0.7758620689655172,12.269262313842773,12.275915622711182
TF101184,ESM2_3B,8,18,0.4444444444444444,3.3995280265808105,3.4037930965423584
TF101203,ESM2_3B,104,138,0.7536231884057971,9.544689178466797,9.553597927093506
TF101204,ESM2_3B,50,72,0.6944444444444444,7.210096836090088,7.214250087738037
TF101218,ESM2_3B,154,186,0.8279569892473119,14.893660068511963,14.906795740127563
TF101219,ESM2_3B,34,64,0.53125,5.833479166030884,5.84127140045166
TF101221,ESM2_3B,2,2,1.0,1.4707763195037842,1.4736225605010986
TF101222,ESM2_3B,80,90,0.8888888888888888,5.44046688079834,5.445484399795532
TF101232,ESM2_3B,148,160,0.925,32.74809813499451,32.760172843933105
TF101233,ESM2_3B,6,6,1.0,2.7174906730651855,2.7231807708740234
TF101234,ESM2_3B,98,124,0.7903225806451613,30.635892391204834,30.645594120025635
TF101236,ESM2_3B,88,102,0.8627450980392157,40.90318703651428,40.91067886352539
TF101237,ESM2_3B,118,136,0.8676470588235294,11.717132329940796,11.726057529449463
TF101503,ESM2_3B,150,180,0.8333333333333334,12.231962442398071,12.24599552154541
TF101507,ESM2_3B,0,2,0.0,0.8982443809509277,0.903109073638916
TF101509,ESM2_3B,152,188,0.8085106382978723,28.438697338104248,28.452128171920776
TF101511,ESM2_3B,48,68,0.7058823529411765,18.780146598815918,18.787229299545288
TF101512,ESM2_3B,138,160,0.8625,74.18806314468384,74.19989013671875
TF101513,ESM2_3B,8,22,0.36363636363636365,6.646981716156006,6.6538777351379395
TF101514,ESM2_3B,144,174,0.8275862068965517,8.712006092071533,8.724196672439575
TF101515,ESM2_3B,166,202,0.8217821782178217,14.308904886245728,14.324088096618652
TF101516,ESM2_3B,110,112,0.9821428571428571,7.54108738899231,7.547518730163574
TF101518,ESM2_3B,168,200,0.84,19.037691354751587,19.05292534828186
TF101521,ESM2_3B,100,148,0.6756756756756757,29.23529601097107,29.246445894241333
TF101528,ESM2_3B,2,6,0.3333333333333333,4.870014429092407,4.875250816345215
TF101531,ESM2_3B,40,48,0.8333333333333334,19.648489952087402,19.652559995651245
TF101535,ESM2_3B,136,168,0.8095238095238095,48.87172842025757,48.884464740753174
TF102001,ESM2_3B,2,6,0.3333333333333333,1.2401032447814941,1.2419209480285645
TF102002,ESM2_3B,100,106,0.9433962264150944,5.2236247062683105,5.230235815048218
TF102012,ESM2_3B,8,14,0.5714285714285714,2.685976982116699,2.6907851696014404
