dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TF315443,ESMC_300M,4,6,0.6666666666666666,0.162278413772583,0.16273808479309082
TF315446,ESMC_300M,14,18,0.7777777777777778,0.32659149169921875,0.32767367362976074
TF315452,ESMC_300M,2,4,0.5,0.14233613014221191,0.14461827278137207
TF315456,ESMC_300M,14,20,0.7,0.34778594970703125,0.3490300178527832
TF315457,ESMC_300M,2,4,0.5,0.1391310691833496,0.1395282745361328
TF315459,ESMC_300M,8,8,1.0,0.19035768508911133,0.1908891201019287
TF315461,ESMC_300M,4,4,1.0,0.1373302936553955,0.13773322105407715
TF315462,ESMC_300M,0,6,0.0,0.16463804244995117,0.16508769989013672
TF315466,ESMC_300M,0,2,0.0,0.11034321784973145,0.11065888404846191
TF315468,ESMC_300M,2,2,1.0,0.11124897003173828,0.11159229278564453
TF315469,ESMC_300M,10,10,1.0,0.2193748950958252,0.2199559211730957
TF315477,ESMC_300M,10,14,0.7142857142857143,0.2750837802886963,0.27591967582702637
TF315483,ESMC_300M,2,2,1.0,0.22429513931274414,0.22870755195617676
TF315488,ESMC_300M,4,4,1.0,0.14023876190185547,0.1406540870666504
TF315489,ESMC_300M,0,8,0.0,0.19867944717407227,0.19985365867614746
TF315495,ESMC_300M,10,16,0.625,0.3027517795562744,0.3040165901184082
TF315498,ESMC_300M,2,4,0.5,0.13925933837890625,0.14055705070495605
TF315500,ESMC_300M,14,16,0.875,0.2998204231262207,0.3006010055541992
TF315504,ESMC_300M,86,104,0.8269230769230769,1.5277130603790283,1.5356807708740234
TF315505,ESMC_300M,16,18,0.8888888888888888,0.328441858291626,0.32938718795776367
TF315507,ESMC_300M,4,4,1.0,0.13878130912780762,0.13917064666748047
TF315508,ESMC_300M,38,46,0.8260869565217391,0.7094228267669678,0.7118139266967773
TF315518,ESMC_300M,86,90,0.9555555555555556,1.6042747497558594,1.6122045516967773
TF315522,ESMC_300M,2,6,0.3333333333333333,0.16510939598083496,0.16556906700134277
TF315525,ESMC_300M,2,4,0.5,0.13750076293945312,0.13795256614685059
TF315527,ESMC_300M,2,2,1.0,0.11092376708984375,0.11128449440002441
TF315546,ESMC_300M,6,10,0.6,0.21907353401184082,0.22012662887573242
TF315550,ESMC_300M,10,16,0.625,0.30718135833740234,0.3083310127258301
TF315552,ESMC_300M,4,16,0.25,0.3003711700439453,0.30166125297546387
TF315554,ESMC_300M,6,16,0.375,0.3055610656738281,0.30857229232788086
TF315556,ESMC_300M,2,4,0.5,0.2787749767303467,0.2791612148284912
TF315571,ESMC_300M,4,4,1.0,0.1367638111114502,0.1371614933013916
TF315572,ESMC_300M,8,8,1.0,0.19098305702209473,0.1914973258972168
TF315575,ESMC_300M,22,28,0.7857142857142857,0.457348108291626,0.45931529998779297
TF315596,ESMC_300M,6,12,0.5,0.24595999717712402,0.24680590629577637
TF315597,ESMC_300M,2,4,0.5,0.13717150688171387,0.1375749111175537
TF315598,ESMC_300M,86,100,0.86,1.4204509258270264,1.4259145259857178
TF315601,ESMC_300M,0,6,0.0,0.1647961139678955,0.16530442237854004
TF315609,ESMC_300M,2,4,0.5,0.13599920272827148,0.1366593837738037
TF315612,ESMC_300M,6,8,0.75,0.1916944980621338,0.19225215911865234
TF315624,ESMC_300M,4,6,0.6666666666666666,0.1642446517944336,0.1648404598236084
TF315625,ESMC_300M,4,6,0.6666666666666666,0.16422677040100098,0.1647336483001709
TF315635,ESMC_300M,6,10,0.6,0.2189192771911621,0.2194986343383789
TF315640,ESMC_300M,2,6,0.3333333333333333,0.16583013534545898,0.166337251663208
TF315641,ESMC_300M,16,24,0.6666666666666666,0.4087390899658203,0.4099009037017822
TF315643,ESMC_300M,2,8,0.25,0.19905591011047363,0.20421600341796875
TF315645,ESMC_300M,4,4,1.0,0.13699722290039062,0.13739347457885742
TF315650,ESMC_300M,0,2,0.0,0.11050128936767578,0.11094284057617188
TF315655,ESMC_300M,10,16,0.625,0.303741455078125,0.30585551261901855
TF315656,ESMC_300M,4,6,0.6666666666666666,0.16533803939819336,0.16580939292907715
TF315669,ESMC_300M,28,32,0.875,0.5189492702484131,0.5208451747894287
TF315672,ESMC_300M,6,10,0.6,0.2208237648010254,0.2220745086669922
TF315675,ESMC_300M,4,4,1.0,0.13648223876953125,0.1368865966796875
TF315677,ESMC_300M,6,14,0.42857142857142855,0.27338409423828125,0.27409791946411133
TF315678,ESMC_300M,2,4,0.5,0.13691163063049316,0.1373732089996338
TF315680,ESMC_300M,8,8,1.0,0.19325518608093262,0.19378232955932617
TF315683,ESMC_300M,2,2,1.0,0.1341876983642578,0.13455772399902344
TF315705,ESMC_300M,4,8,0.5,0.1920163631439209,0.19253826141357422
TF315713,ESMC_300M,4,4,1.0,0.13696599006652832,0.13735437393188477
TF315718,ESMC_300M,4,6,0.6666666666666666,0.16410112380981445,0.16457200050354004
TF315722,ESMC_300M,4,4,1.0,0.13734936714172363,0.1378157138824463
TF315723,ESMC_300M,12,20,0.6,0.3568415641784668,0.35784173011779785
TF315728,ESMC_300M,2,2,1.0,0.11065101623535156,0.11098170280456543
TF315729,ESMC_300M,14,14,1.0,0.2739875316619873,0.2748148441314697
TF315741,ESMC_300M,4,6,0.6666666666666666,0.16397738456726074,0.1644306182861328
TF315745,ESMC_300M,6,6,1.0,0.16554999351501465,0.16620326042175293
TF315757,ESMC_300M,4,6,0.6666666666666666,0.16393566131591797,0.16440200805664062
TF315763,ESMC_300M,16,24,0.6666666666666666,0.4096493721008301,0.41086792945861816
TF315770,ESMC_300M,0,2,0.0,0.11107969284057617,0.11245965957641602
TF315772,ESMC_300M,2,4,0.5,0.1378154754638672,0.1381998062133789
TF315776,ESMC_300M,4,4,1.0,0.1373291015625,0.13772225379943848
TF315786,ESMC_300M,16,22,0.7272727272727273,0.3819413185119629,0.38302063941955566
TF315788,ESMC_300M,8,10,0.8,0.21917247772216797,0.21975135803222656
TF315794,ESMC_300M,2,4,0.5,0.1371777057647705,0.1377429962158203
TF315798,ESMC_300M,28,54,0.5185185185185185,0.8195793628692627,0.8220865726470947
TF315804,ESMC_300M,64,82,0.7804878048780488,1.1879308223724365,1.2088124752044678
TF315809,ESMC_300M,4,4,1.0,0.13722467422485352,0.13761091232299805
TF315822,ESMC_300M,2,2,1.0,0.11088180541992188,0.1112360954284668
TF315828,ESMC_300M,2,4,0.5,0.13750672340393066,0.13805007934570312
TF315835,ESMC_300M,16,18,0.8888888888888888,0.3244435787200928,0.3253622055053711
TF315836,ESMC_300M,4,8,0.5,0.19349288940429688,0.19404339790344238
TF315838,ESMC_300M,82,92,0.8913043478260869,1.370581865310669,1.3750996589660645
TF315840,ESMC_300M,2,6,0.3333333333333333,0.1650831699371338,0.16554546356201172
TF315843,ESMC_300M,4,10,0.4,0.22059869766235352,0.22131967544555664
TF315844,ESMC_300M,20,28,0.7142857142857143,0.47091078758239746,0.4721100330352783
TF315851,ESMC_300M,28,50,0.56,0.7702999114990234,0.7724401950836182
TF315865,ESMC_300M,278,332,0.8373493975903614,4.76907753944397,4.80268931388855
TF315878,ESMC_300M,8,12,0.6666666666666666,0.24999141693115234,0.2506277561187744
TF315879,ESMC_300M,6,12,0.5,0.252579927444458,0.25321102142333984
TF315884,ESMC_300M,14,22,0.6363636363636364,0.3860452175140381,0.3870272636413574
TF315885,ESMC_300M,10,12,0.8333333333333334,0.2509746551513672,0.2517402172088623
TF315888,ESMC_300M,2,4,0.5,0.13584566116333008,0.13637614250183105
TF315891,ESMC_300M,6,22,0.2727272727272727,0.3891575336456299,0.393035888671875
TF315895,ESMC_300M,86,102,0.8431372549019608,1.4907565116882324,1.497114896774292
TF315906,ESMC_300M,238,260,0.9153846153846154,3.7543413639068604,3.7759995460510254
TF315912,ESMC_300M,36,58,0.6206896551724138,0.8741381168365479,0.8768229484558105
TF315913,ESMC_300M,4,6,0.6666666666666666,0.16668438911437988,0.16723299026489258
TF315919,ESMC_300M,20,22,0.9090909090909091,0.3847825527191162,0.38573551177978516
TF315920,ESMC_300M,138,166,0.8313253012048193,2.3759992122650146,2.386763095855713
TF315926,ESMC_300M,8,8,1.0,0.1914050579071045,0.19196319580078125
TF315929,ESMC_300M,4,4,1.0,0.1383504867553711,0.1387472152709961
TF315930,ESMC_300M,2,2,1.0,0.11149859428405762,0.11290192604064941
TF315932,ESMC_300M,2,4,0.5,0.13692808151245117,0.13732028007507324
TF315944,ESMC_300M,40,58,0.6896551724137931,0.8779470920562744,0.8807468414306641
TF315949,ESMC_300M,2,4,0.5,0.13996362686157227,0.14036107063293457
TF315954,ESMC_300M,4,4,1.0,0.1385200023651123,0.13891935348510742
TF315956,ESMC_300M,6,10,0.6,0.2261648178100586,0.22939348220825195
TF315960,ESMC_300M,2,4,0.5,0.14426732063293457,0.14957976341247559
TF315966,ESMC_300M,2,8,0.25,0.19127964973449707,0.19179105758666992
TF315969,ESMC_300M,4,8,0.5,0.19215798377990723,0.19267678260803223
TF315970,ESMC_300M,48,48,1.0,0.7374887466430664,0.7395870685577393
TF315972,ESMC_300M,4,6,0.6666666666666666,0.16088628768920898,0.1616811752319336
TF315977,ESMC_300M,2,4,0.5,0.13862943649291992,0.13901734352111816
TF315981,ESMC_300M,8,12,0.6666666666666666,0.24536609649658203,0.24600648880004883
TF315986,ESMC_300M,98,116,0.8448275862068966,1.658217430114746,1.6654472351074219
TF315988,ESMC_300M,14,20,0.7,0.3577871322631836,0.35869669914245605
TF315992,ESMC_300M,4,4,1.0,0.13718962669372559,0.13757967948913574
TF315993,ESMC_300M,46,54,0.8518518518518519,0.8556489944458008,0.8647587299346924
TF315994,ESMC_300M,4,6,0.6666666666666666,0.1634221076965332,0.16388463973999023
TF315999,ESMC_300M,6,8,0.75,0.19412469863891602,0.19483518600463867
TF316000,ESMC_300M,0,2,0.0,0.11063194274902344,0.11142182350158691
TF316006,ESMC_300M,194,208,0.9326923076923077,3.007627248764038,3.022331476211548
TF316010,ESMC_300M,8,8,1.0,0.19244885444641113,0.19297146797180176
TF316012,ESMC_300M,2,4,0.5,0.1383657455444336,0.138838529586792
TF316015,ESMC_300M,4,16,0.25,0.29432177543640137,0.29506516456604004
TF316018,ESMC_300M,10,10,1.0,0.22079014778137207,0.22136306762695312
TF316031,ESMC_300M,6,8,0.75,0.19110655784606934,0.19222760200500488
