dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TB2:S10774Taxa2_processed,EVO2,98,128,0.765625,1.3700611591339111,1.3777785301208496
TB2:S11768Taxa1_processed,EVO2,90,112,0.8035714285714286,1.311145544052124,1.3162739276885986
TB2:S1405Taxa2_processed,EVO2,6,14,0.42857142857142855,0.07077312469482422,0.07138299942016602
TB2:S10814Taxa1_processed,EVO2,82,116,0.7068965517241379,3.7415640354156494,3.7470695972442627
TB2:S10125_processed,EVO2,37,57,0.6491228070175439,1.581294298171997,1.5839238166809082
TB2:S10270Taxa1_processed,EVO2,70,88,0.7954545454545454,0.7311840057373047,0.734699010848999
TB2:S1129Taxa1_processed,EVO2,59,91,0.6483516483516484,0.9014136791229248,0.9050490856170654
TB2:S14299Taxa4_processed,EVO2,246,248,0.9919354838709677,2.8878209590911865,2.9241580963134766
TB2:S987Taxa4_processed,EVO2,16,20,0.8,1.18569016456604,1.1864488124847412
TB2:S12493Taxa8_processed,EVO2,66,66,1.0,1.690779685974121,1.6931378841400146
TB2:S14010Taxa3_processed,EVO2,12,14,0.8571428571428571,0.6232349872589111,0.6237978935241699
TB2:S12120_processed,EVO2,462,472,0.9788135593220338,4.868024110794067,4.923505783081055
TB2:S14894Taxa1_processed,EVO2,30,50,0.6,2.719529867172241,2.7213399410247803
TB2:S14916Taxa2_processed,EVO2,58,68,0.8529411764705882,0.6551353931427002,0.6577386856079102
TB2:S10976_processed,EVO2,30,32,0.9375,1.4466726779937744,1.447871208190918
TB2:S14022Taxa1_processed,EVO2,168,172,0.9767441860465116,2.1136844158172607,2.131027936935425
TB2:S553Taxa5_processed,EVO2,57,57,1.0,1.0386772155761719,1.0407238006591797
TB2:S943Taxa3_processed,EVO2,8,14,0.5714285714285714,0.07614398002624512,0.07671642303466797
TB2:S11436_processed,EVO2,354,406,0.8719211822660099,6.813967227935791,6.8479437828063965
TB2:S1301Taxa2_processed,EVO2,109,119,0.9159663865546218,1.0550525188446045,1.0599064826965332
TB2:S13756Taxa2_processed,EVO2,45,61,0.7377049180327869,0.641951322555542,0.6444602012634277
TB2:S10943Taxa4_processed,EVO2,76,106,0.7169811320754716,0.903846025466919,0.9085049629211426
TB2:S15931Taxa1_processed,EVO2,90,98,0.9183673469387755,0.15537285804748535,0.15918827056884766
TB2:S12840Taxa4_processed,EVO2,51,55,0.9272727272727272,1.6153316497802734,1.61842942237854
TB2:S2016_processed,EVO2,348,384,0.90625,0.8596804141998291,0.891575813293457
TB2:S10172Taxa1_processed,EVO2,126,150,0.84,2.529991388320923,2.5370583534240723
TB2:S11269Taxa3_processed,EVO2,36,42,0.8571428571428571,1.5525283813476562,1.5545532703399658
TB2:S12083Taxa1_processed,EVO2,86,102,0.8431372549019608,4.571385860443115,4.575573444366455
TB2:S13927_processed,EVO2,68,70,0.9714285714285714,3.288618326187134,3.291168451309204
TB2:S1187Taxa1_processed,EVO2,62,62,1.0,1.2475168704986572,1.24967360496521
TB2:S11796_processed,EVO2,8,12,0.6666666666666666,0.3339998722076416,0.33462977409362793
TB2:S1212Taxa2_processed,EVO2,72,90,0.8,1.6443672180175781,1.6478064060211182
