dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TF322995,ESM3,20,22,0.9090909090909091,0.5325438976287842,0.5336265563964844
TF322999,ESM3,2,4,0.5,0.16677165031433105,0.1670689582824707
TF323007,ESM3,8,10,0.8,0.4691777229309082,0.4699063301086426
TF323026,ESM3,6,10,0.6,0.27033209800720215,0.27078747749328613
TF323028,ESM3,2,2,1.0,0.136338472366333,0.13663339614868164
TF323032,ESM3,176,208,0.8461538461538461,4.196249008178711,4.208885908126831
TF323033,ESM3,4,8,0.5,0.23645710945129395,0.2368617057800293
TF323035,ESM3,6,10,0.6,0.27398109436035156,0.2747199535369873
TF323089,ESM3,28,32,0.875,0.6350893974304199,0.6362650394439697
TF323091,ESM3,4,4,1.0,0.4848172664642334,0.4856293201446533
TF323157,ESM3,112,130,0.8615384615384616,3.5005998611450195,3.5074918270111084
TF323165,ESM3,98,112,0.875,11.799489259719849,11.805420160293579
TF323180,ESM3,96,118,0.8135593220338984,2.1430718898773193,2.1489803791046143
TF323190,ESM3,92,96,0.9583333333333334,3.1907873153686523,3.204660415649414
TF323191,ESM3,0,4,0.0,0.21724534034729004,0.2279951572418213
TF323192,ESM3,30,52,0.5769230769230769,3.2857110500335693,3.2902820110321045
TF323196,ESM3,102,112,0.9107142857142857,2.0030829906463623,2.009744167327881
TF323199,ESM3,0,6,0.0,0.20732402801513672,0.2106461524963379
TF323207,ESM3,0,2,0.0,0.14272141456604004,0.14654231071472168
TF323210,ESM3,190,218,0.8715596330275229,3.71720290184021,3.7397525310516357
TF323220,ESM3,132,140,0.9428571428571428,2.412538528442383,2.4196200370788574
TF323227,ESM3,82,94,0.8723404255319149,6.657849073410034,6.661770820617676
TF323228,ESM3,96,120,0.8,2.227083444595337,2.2324178218841553
TF323237,ESM3,96,114,0.8421052631578947,2.1051530838012695,2.111283302307129
TF323238,ESM3,130,150,0.8666666666666667,2.6706364154815674,2.6777775287628174
TF323240,ESM3,116,136,0.8529411764705882,2.402851104736328,2.411076545715332
TF323242,ESM3,20,30,0.6666666666666666,1.247298240661621,1.249845266342163
TF323246,ESM3,2,2,1.0,0.1495199203491211,0.15620064735412598
TF323258,ESM3,150,182,0.8241758241758241,3.2474865913391113,3.2572710514068604
TF323261,ESM3,98,108,0.9074074074074074,5.635622978210449,5.640613794326782
