dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TB2:S1481_processed,ESMC_300M,418,656,0.6371951219512195,6.403322458267212,6.483766078948975
TB2:S13715Taxa1_processed,ESMC_300M,6,22,0.2727272727272727,0.268108606338501,0.2690417766571045
TB2:S11642Taxa3_processed,ESMC_300M,99,121,0.8181818181818182,1.6549572944641113,1.662459373474121
TB2:S11807_processed,ESMC_300M,None,None,None,11.414841413497925,11.433674573898315
TB2:S1401Taxa1_processed,ESMC_300M,6,8,0.75,0.15953946113586426,0.15996885299682617
TB2:S14421Taxa2_processed,ESMC_300M,20,38,0.5263157894736842,0.44284963607788086,0.4442160129547119
TB2:S1626Taxa5_processed,ESMC_300M,46,82,0.5609756097560976,0.8203847408294678,0.8234109878540039
TB2:S11269Taxa2_processed,ESMC_300M,27,31,0.8709677419354839,0.5828073024749756,0.5846245288848877
TB2:S14203_processed,ESMC_300M,7,9,0.7777777777777778,0.16312599182128906,0.16356420516967773
TB2:S2036Taxa1_processed,ESMC_300M,52,76,0.6842105263157895,0.8251950740814209,0.8282904624938965
TB2:S1340Taxa2_processed,ESMC_300M,3,7,0.42857142857142855,0.14194941520690918,0.14233899116516113
TB2:S11020Taxa2_processed,ESMC_300M,206,206,1.0,2.1501550674438477,2.161086320877075
TB2:S11804_processed,ESMC_300M,53,59,0.8983050847457628,0.6900415420532227,0.6922085285186768
TB2:S13778Taxa3_processed,ESMC_300M,30,44,0.6818181818181818,0.4540534019470215,0.4556303024291992
TB2:S12493Taxa9_processed,ESMC_300M,36,46,0.782608695652174,0.5345399379730225,0.5361306667327881
TB2:S10173_processed,ESMC_300M,466,626,0.744408945686901,6.617502689361572,6.691640377044678
TB2:S2211_processed,ESMC_300M,52,54,0.9629629629629629,0.5896363258361816,0.5914571285247803
TB2:S1228Taxa2_processed,ESMC_300M,25,27,0.9259259259259259,0.38866758346557617,0.390183687210083
TB2:S1103_processed,ESMC_300M,15,29,0.5172413793103449,0.39008307456970215,0.3911302089691162
TB2:S12233Taxa4_processed,ESMC_300M,28,68,0.4117647058823529,0.7474679946899414,0.7498466968536377
TB2:S1496Taxa2_processed,ESMC_300M,22,32,0.6875,0.3562583923339844,0.3573935031890869
TB2:S1328Taxa2_processed,ESMC_300M,35,41,0.8536585365853658,0.44673871994018555,0.4481492042541504
TB2:S13692Taxa1_processed,ESMC_300M,72,82,0.8780487804878049,1.0498080253601074,1.0533757209777832
TB2:S12861Taxa4_processed,ESMC_300M,20,20,1.0,0.2770702838897705,0.27777600288391113
TB2:S11863Taxa3_processed,ESMC_300M,90,112,0.8035714285714286,1.3843531608581543,1.3900890350341797
TB2:S1700Taxa3_processed,ESMC_300M,82,122,0.6721311475409836,1.4563384056091309,1.4622042179107666
TB2:S14911Taxa2_processed,ESMC_300M,42,46,0.9130434782608695,0.5269062519073486,0.5287890434265137
TB2:S12482Taxa2_processed,ESMC_300M,30,32,0.9375,0.4230985641479492,0.4242727756500244
TB2:S1075_processed,ESMC_300M,81,93,0.8709677419354839,1.0989887714385986,1.1029093265533447
TB2:S10701Taxa9_processed,ESMC_300M,25,33,0.7575757575757576,0.44244933128356934,0.44373250007629395
TB2:S10903Taxa1_processed,ESMC_300M,17,17,1.0,0.2561790943145752,0.25731992721557617
TB2:S1775Taxa1_processed,ESMC_300M,1,13,0.07692307692307693,0.18699193000793457,0.18758559226989746
